"Overall","variable","sp","season","climate","method"
7.59586595110329,"ICE","SFS","winter","ACCESS1-0","ann"
89.5065919018795,"SST","SFS","winter","ACCESS1-0","ann"
33.0924458520696,"WINu","SFS","winter","ACCESS1-0","ann"
81.8102587319189,"WINv","SFS","winter","ACCESS1-0","ann"
47.7302537373341,"WIN","SFS","winter","ACCESS1-0","ann"
35.4446684388898,"CURu","SFS","winter","ACCESS1-0","ann"
27.1093310421526,"CURv","SFS","winter","ACCESS1-0","ann"
32.5538721778338,"CUR","SFS","winter","ACCESS1-0","ann"
100,"SSH","SFS","winter","ACCESS1-0","ann"
0,"SSHg","SFS","winter","ACCESS1-0","ann"
19.1612552729334,"SSTg","SFS","winter","ACCESS1-0","ann"
8.32245359456602,"DEP","SFS","winter","ACCESS1-0","ann"
