"Overall","variable","sp","season","climate","method"
NA,"WINu","SFS","winter","BCC-CSM1.1","gam"
NA,"WINv","SFS","winter","BCC-CSM1.1","gam"
NA,"WIN","SFS","winter","BCC-CSM1.1","gam"
NA,"CURu","SFS","winter","BCC-CSM1.1","gam"
NA,"CUR","SFS","winter","BCC-CSM1.1","gam"
NA,"CURv","SFS","winter","BCC-CSM1.1","gam"
NA,"SST","SFS","winter","BCC-CSM1.1","gam"
NA,"SSH","SFS","winter","BCC-CSM1.1","gam"
NA,"SSHg","SFS","winter","BCC-CSM1.1","gam"
NA,"SSTg","SFS","winter","BCC-CSM1.1","gam"
NA,"DEP","SFS","winter","BCC-CSM1.1","gam"
