"Overall","variable","sp","season","climate","method"
43.4648652648003,"ICE","SFS","winter","CMCC-CM","ann"
78.7079361414497,"SST","SFS","winter","CMCC-CM","ann"
77.9903899430935,"WINu","SFS","winter","CMCC-CM","ann"
22.6715109155208,"WINv","SFS","winter","CMCC-CM","ann"
100,"WIN","SFS","winter","CMCC-CM","ann"
12.3055682898559,"CURu","SFS","winter","CMCC-CM","ann"
38.4050611980869,"CURv","SFS","winter","CMCC-CM","ann"
8.68190715855189,"CUR","SFS","winter","CMCC-CM","ann"
0,"SSH","SFS","winter","CMCC-CM","ann"
5.08369569873483,"SSHg","SFS","winter","CMCC-CM","ann"
7.84875038103772,"SSTg","SFS","winter","CMCC-CM","ann"
64.1988333019906,"DEP","SFS","winter","CMCC-CM","ann"
