"Overall","variable","sp","season","climate","method"
0,"ICE","SFS","winter","CanESM2","gbm"
78.2897359165044,"SST","SFS","winter","CanESM2","gbm"
13.1158652232331,"WINu","SFS","winter","CanESM2","gbm"
32.0985122345102,"WINv","SFS","winter","CanESM2","gbm"
10.3532210714483,"WIN","SFS","winter","CanESM2","gbm"
23.3002434199318,"CURu","SFS","winter","CanESM2","gbm"
37.3847100940115,"CURv","SFS","winter","CanESM2","gbm"
23.3288944007042,"CUR","SFS","winter","CanESM2","gbm"
40.1179580989647,"SSH","SFS","winter","CanESM2","gbm"
43.2669547117321,"SSHg","SFS","winter","CanESM2","gbm"
42.9808383406912,"SSTg","SFS","winter","CanESM2","gbm"
100,"DEP","SFS","winter","CanESM2","gbm"
