"Overall","variable","sp","season","climate","method"
24.0609548521429,"ICE","SFS","winter","EC-EARTH","ann"
65.5652921736292,"SST","SFS","winter","EC-EARTH","ann"
100,"WINu","SFS","winter","EC-EARTH","ann"
40.8231149789238,"WINv","SFS","winter","EC-EARTH","ann"
84.5716795637673,"WIN","SFS","winter","EC-EARTH","ann"
14.1704147861551,"CURu","SFS","winter","EC-EARTH","ann"
13.3968541992065,"CURv","SFS","winter","EC-EARTH","ann"
44.0984963999541,"CUR","SFS","winter","EC-EARTH","ann"
33.323808071096,"SSH","SFS","winter","EC-EARTH","ann"
0,"SSHg","SFS","winter","EC-EARTH","ann"
14.1734602465819,"SSTg","SFS","winter","EC-EARTH","ann"
52.3741993518859,"DEP","SFS","winter","EC-EARTH","ann"
