"Overall","variable","sp","climate","season","method"
0,"ICE","SFS","EC-EARTH","winter","rf"
57.5803514539965,"SST","SFS","EC-EARTH","winter","rf"
77.1857552469384,"SSTg","SFS","EC-EARTH","winter","rf"
33.812021997059,"WINu","SFS","EC-EARTH","winter","rf"
26.7631164394515,"WINv","SFS","EC-EARTH","winter","rf"
18.456507847081,"CURu","SFS","EC-EARTH","winter","rf"
18.4457520930883,"CURv","SFS","EC-EARTH","winter","rf"
51.6970983353371,"SSH","SFS","EC-EARTH","winter","rf"
21.3048778123748,"SSHg","SFS","EC-EARTH","winter","rf"
100,"DEP","SFS","EC-EARTH","winter","rf"
