"Overall","variable","sp","season","climate","method"
6.6770547600809,"ICE","SFS","winter","GISS-E2-H-CC","ann"
100,"SST","SFS","winter","GISS-E2-H-CC","ann"
46.7566977455541,"WINu","SFS","winter","GISS-E2-H-CC","ann"
34.6405421017652,"WINv","SFS","winter","GISS-E2-H-CC","ann"
35.6887685024675,"WIN","SFS","winter","GISS-E2-H-CC","ann"
0,"CURu","SFS","winter","GISS-E2-H-CC","ann"
2.50318508086476,"CURv","SFS","winter","GISS-E2-H-CC","ann"
3.74489100330767,"CUR","SFS","winter","GISS-E2-H-CC","ann"
3.62211212431898,"SSTg","SFS","winter","GISS-E2-H-CC","ann"
39.6252297583359,"DEP","SFS","winter","GISS-E2-H-CC","ann"
