"Overall","variable","sp","season","climate","method"
0,"ICE","SFS","winter","MIROC-ESM","gbm"
93.638001028246,"SST","SFS","winter","MIROC-ESM","gbm"
18.2302934994361,"WINu","SFS","winter","MIROC-ESM","gbm"
30.9252183627171,"WINv","SFS","winter","MIROC-ESM","gbm"
16.4506137144283,"WIN","SFS","winter","MIROC-ESM","gbm"
24.0825273941264,"CURu","SFS","winter","MIROC-ESM","gbm"
35.9175327824769,"CURv","SFS","winter","MIROC-ESM","gbm"
19.631723608485,"CUR","SFS","winter","MIROC-ESM","gbm"
47.6470261963509,"SSH","SFS","winter","MIROC-ESM","gbm"
27.0494172540611,"SSHg","SFS","winter","MIROC-ESM","gbm"
72.4252067730674,"SSTg","SFS","winter","MIROC-ESM","gbm"
100,"DEP","SFS","winter","MIROC-ESM","gbm"
