"Overall","variable","sp","season","climate","method"
NA,"SST","SRP","summer","CMCC-CM","gam"
NA,"SSH","SRP","summer","CMCC-CM","gam"
NA,"SSHg","SRP","summer","CMCC-CM","gam"
NA,"SSTg","SRP","summer","CMCC-CM","gam"
NA,"CURu","SRP","summer","CMCC-CM","gam"
NA,"CURv","SRP","summer","CMCC-CM","gam"
NA,"CUR","SRP","summer","CMCC-CM","gam"
NA,"WINu","SRP","summer","CMCC-CM","gam"
NA,"WINv","SRP","summer","CMCC-CM","gam"
NA,"WIN","SRP","summer","CMCC-CM","gam"
NA,"DEP","SRP","summer","CMCC-CM","gam"
