"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SRP","summer","CMCC-CM","svm"
100,100,"SST","SRP","summer","CMCC-CM","svm"
93.8596956522045,93.8596956522045,"WINu","SRP","summer","CMCC-CM","svm"
68.4952445331956,68.4952445331956,"WINv","SRP","summer","CMCC-CM","svm"
97.9443942463873,97.9443942463873,"WIN","SRP","summer","CMCC-CM","svm"
0.999412835370632,0.999412835370632,"CURu","SRP","summer","CMCC-CM","svm"
37.3538235124416,37.3538235124416,"CURv","SRP","summer","CMCC-CM","svm"
6.51935233767856,6.51935233767856,"CUR","SRP","summer","CMCC-CM","svm"
96.5262349767072,96.5262349767072,"SSH","SRP","summer","CMCC-CM","svm"
12.4865445197602,12.4865445197602,"SSHg","SRP","summer","CMCC-CM","svm"
96.6213818447502,96.6213818447502,"SSTg","SRP","summer","CMCC-CM","svm"
45.816374811612,45.816374811612,"DEP","SRP","summer","CMCC-CM","svm"
