"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","CanESM2","summer","gbm"
100,"SST","SRP","CanESM2","summer","gbm"
30.3959142834131,"SSTg","SRP","CanESM2","summer","gbm"
6.76648386875361,"WIN","SRP","CanESM2","summer","gbm"
3.2327853247784,"WINu","SRP","CanESM2","summer","gbm"
1.82148065888287,"WINv","SRP","CanESM2","summer","gbm"
2.82234120179316,"CUR","SRP","CanESM2","summer","gbm"
2.00550628641975,"CURu","SRP","CanESM2","summer","gbm"
27.4386255696343,"CURv","SRP","CanESM2","summer","gbm"
2.00481242419312,"SSH","SRP","CanESM2","summer","gbm"
5.3642932285004,"SSHg","SRP","CanESM2","summer","gbm"
16.6262829689724,"DEP","SRP","CanESM2","summer","gbm"
