"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SRP","summer","EC-EARTH","svm"
100,100,"SST","SRP","summer","EC-EARTH","svm"
87.1911936946458,87.1911936946458,"WINu","SRP","summer","EC-EARTH","svm"
61.2753848092595,61.2753848092595,"WINv","SRP","summer","EC-EARTH","svm"
90.892422158938,90.892422158938,"WIN","SRP","summer","EC-EARTH","svm"
41.155598012689,41.155598012689,"CURu","SRP","summer","EC-EARTH","svm"
8.93965150715314,8.93965150715314,"CURv","SRP","summer","EC-EARTH","svm"
44.0410600126688,44.0410600126688,"CUR","SRP","summer","EC-EARTH","svm"
94.0146837109906,94.0146837109906,"SSH","SRP","summer","EC-EARTH","svm"
52.6333829807397,52.6333829807397,"SSHg","SRP","summer","EC-EARTH","svm"
97.7740404334468,97.7740404334468,"SSTg","SRP","summer","EC-EARTH","svm"
45.6888068601694,45.6888068601694,"DEP","SRP","summer","EC-EARTH","svm"
