"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","MIROC-ESM","summer","rf"
100,"SST","SRP","MIROC-ESM","summer","rf"
48.9901442584089,"SSTg","SRP","MIROC-ESM","summer","rf"
9.05716739722446,"WINu","SRP","MIROC-ESM","summer","rf"
21.5380603536391,"WINv","SRP","MIROC-ESM","summer","rf"
16.6879788685015,"CURu","SRP","MIROC-ESM","summer","rf"
32.0212682063885,"CURv","SRP","MIROC-ESM","summer","rf"
69.2049112960524,"SSH","SRP","MIROC-ESM","summer","rf"
17.2706295136949,"SSHg","SRP","MIROC-ESM","summer","rf"
51.3969686673941,"DEP","SRP","MIROC-ESM","summer","rf"
