"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SRP","summer","MIROC-ESM","svm"
100,100,"SST","SRP","summer","MIROC-ESM","svm"
11.2213682656751,11.2213682656751,"WINu","SRP","summer","MIROC-ESM","svm"
41.1365215605667,41.1365215605667,"WINv","SRP","summer","MIROC-ESM","svm"
10.7345562434489,10.7345562434489,"WIN","SRP","summer","MIROC-ESM","svm"
11.9328286680641,11.9328286680641,"CURu","SRP","summer","MIROC-ESM","svm"
77.6255096075096,77.6255096075096,"CURv","SRP","summer","MIROC-ESM","svm"
5.461537886489,5.461537886489,"CUR","SRP","summer","MIROC-ESM","svm"
88.7421028960729,88.7421028960729,"SSH","SRP","summer","MIROC-ESM","svm"
20.2199215853578,20.2199215853578,"SSHg","SRP","summer","MIROC-ESM","svm"
86.3960620168992,86.3960620168992,"SSTg","SRP","summer","MIROC-ESM","svm"
45.8664603143706,45.8664603143706,"DEP","SRP","summer","MIROC-ESM","svm"
