"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","NorESM1-M","summer","gbm"
100,"SST","SRP","NorESM1-M","summer","gbm"
2.69693526542581,"SSTg","SRP","NorESM1-M","summer","gbm"
2.34784903301019,"WIN","SRP","NorESM1-M","summer","gbm"
2.84434624361293,"WINu","SRP","NorESM1-M","summer","gbm"
61.7209513716814,"WINv","SRP","NorESM1-M","summer","gbm"
0.131713333279383,"CUR","SRP","NorESM1-M","summer","gbm"
1.37283331744963,"CURu","SRP","NorESM1-M","summer","gbm"
3.10833542372997,"CURv","SRP","NorESM1-M","summer","gbm"
0.57856537918731,"SSH","SRP","NorESM1-M","summer","gbm"
3.46723576586826,"SSHg","SRP","NorESM1-M","summer","gbm"
1.57272055286643,"DEP","SRP","NorESM1-M","summer","gbm"
