"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","ACCESS1-0","winter","rf"
59.81440597766,"SST","SRP","ACCESS1-0","winter","rf"
39.8311518213089,"SSTg","SRP","ACCESS1-0","winter","rf"
100,"WINu","SRP","ACCESS1-0","winter","rf"
45.9107638140179,"WINv","SRP","ACCESS1-0","winter","rf"
49.5751044208086,"CURu","SRP","ACCESS1-0","winter","rf"
41.4505322767833,"CURv","SRP","ACCESS1-0","winter","rf"
85.6328154289501,"SSH","SRP","ACCESS1-0","winter","rf"
44.4417455582306,"SSHg","SRP","ACCESS1-0","winter","rf"
67.8984147661248,"DEP","SRP","ACCESS1-0","winter","rf"
