"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SRP","winter","ACCESS1-0","svm"
67.4682419646214,67.4682419646214,"SST","SRP","winter","ACCESS1-0","svm"
99.4821644507772,99.4821644507772,"WINu","SRP","winter","ACCESS1-0","svm"
13.773664919277,13.773664919277,"WINv","SRP","winter","ACCESS1-0","svm"
100,100,"WIN","SRP","winter","ACCESS1-0","svm"
52.6112101792658,52.6112101792658,"CURu","SRP","winter","ACCESS1-0","svm"
6.38791313946061,6.38791313946061,"CURv","SRP","winter","ACCESS1-0","svm"
50.3303994854208,50.3303994854208,"CUR","SRP","winter","ACCESS1-0","svm"
79.6250954272986,79.6250954272986,"SSH","SRP","winter","ACCESS1-0","svm"
51.0740558605763,51.0740558605763,"SSHg","SRP","winter","ACCESS1-0","svm"
10.3047855559737,10.3047855559737,"SSTg","SRP","winter","ACCESS1-0","svm"
14.2940680555086,14.2940680555086,"DEP","SRP","winter","ACCESS1-0","svm"
