"Overall","variable","sp","season","climate","method"
NA,"WINu","SRP","winter","BCC-CSM1.1","gam"
NA,"WINv","SRP","winter","BCC-CSM1.1","gam"
NA,"WIN","SRP","winter","BCC-CSM1.1","gam"
NA,"SST","SRP","winter","BCC-CSM1.1","gam"
NA,"SSH","SRP","winter","BCC-CSM1.1","gam"
NA,"SSHg","SRP","winter","BCC-CSM1.1","gam"
NA,"SSTg","SRP","winter","BCC-CSM1.1","gam"
NA,"CURu","SRP","winter","BCC-CSM1.1","gam"
NA,"CURv","SRP","winter","BCC-CSM1.1","gam"
NA,"CUR","SRP","winter","BCC-CSM1.1","gam"
NA,"DEP","SRP","winter","BCC-CSM1.1","gam"
