"Obs","Sim","variable","sp","season","climate","method"
7.49146557176154,7.49146557176154,"ICE","SRP","winter","BCC-CSM1.1","svm"
62.0319252088151,62.0319252088151,"SST","SRP","winter","BCC-CSM1.1","svm"
100,100,"WINu","SRP","winter","BCC-CSM1.1","svm"
31.9341183120043,31.9341183120043,"WINv","SRP","winter","BCC-CSM1.1","svm"
94.8327877587058,94.8327877587058,"WIN","SRP","winter","BCC-CSM1.1","svm"
59.3939992213092,59.3939992213092,"CURu","SRP","winter","BCC-CSM1.1","svm"
23.6157687624603,23.6157687624603,"CURv","SRP","winter","BCC-CSM1.1","svm"
45.7318154841919,45.7318154841919,"CUR","SRP","winter","BCC-CSM1.1","svm"
77.3198820081568,77.3198820081568,"SSH","SRP","winter","BCC-CSM1.1","svm"
17.0181361530591,17.0181361530591,"SSHg","SRP","winter","BCC-CSM1.1","svm"
0,0,"SSTg","SRP","winter","BCC-CSM1.1","svm"
15.1599538147092,15.1599538147092,"DEP","SRP","winter","BCC-CSM1.1","svm"
