"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","CanESM2","winter","rf"
55.8222115214284,"SST","SRP","CanESM2","winter","rf"
47.8602477666306,"SSTg","SRP","CanESM2","winter","rf"
100,"WINu","SRP","CanESM2","winter","rf"
44.5692630259385,"WINv","SRP","CanESM2","winter","rf"
51.1854102300194,"CURu","SRP","CanESM2","winter","rf"
68.1790442031223,"CURv","SRP","CanESM2","winter","rf"
62.4297978298354,"SSH","SRP","CanESM2","winter","rf"
61.4117505947902,"SSHg","SRP","CanESM2","winter","rf"
69.4961270560722,"DEP","SRP","CanESM2","winter","rf"
