"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SRP","winter","CanESM2","svm"
63.3780989757472,63.3780989757472,"SST","SRP","winter","CanESM2","svm"
100,100,"WINu","SRP","winter","CanESM2","svm"
67.4273586375121,67.4273586375121,"WINv","SRP","winter","CanESM2","svm"
97.6685429585611,97.6685429585611,"WIN","SRP","winter","CanESM2","svm"
22.4203161248931,22.4203161248931,"CURu","SRP","winter","CanESM2","svm"
3.39500225417705,3.39500225417705,"CURv","SRP","winter","CanESM2","svm"
33.578091129458,33.578091129458,"CUR","SRP","winter","CanESM2","svm"
63.7142951645214,63.7142951645214,"SSH","SRP","winter","CanESM2","svm"
51.9929063985638,51.9929063985638,"SSHg","SRP","winter","CanESM2","svm"
77.6164232875027,77.6164232875027,"SSTg","SRP","winter","CanESM2","svm"
12.7274484216406,12.7274484216406,"DEP","SRP","winter","CanESM2","svm"
