"Overall","variable","sp","season","climate","method"
NA,"WINu","SRP","winter","EC-EARTH","gam"
NA,"WINv","SRP","winter","EC-EARTH","gam"
NA,"WIN","SRP","winter","EC-EARTH","gam"
NA,"CURu","SRP","winter","EC-EARTH","gam"
NA,"SST","SRP","winter","EC-EARTH","gam"
NA,"CURv","SRP","winter","EC-EARTH","gam"
NA,"CUR","SRP","winter","EC-EARTH","gam"
NA,"SSH","SRP","winter","EC-EARTH","gam"
NA,"SSHg","SRP","winter","EC-EARTH","gam"
NA,"SSTg","SRP","winter","EC-EARTH","gam"
NA,"DEP","SRP","winter","EC-EARTH","gam"
