"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","EC-EARTH","winter","gbm"
14.6616370184594,"SST","SRP","EC-EARTH","winter","gbm"
15.2042757438419,"SSTg","SRP","EC-EARTH","winter","gbm"
25.3572281856781,"WIN","SRP","EC-EARTH","winter","gbm"
26.1265613516978,"WINu","SRP","EC-EARTH","winter","gbm"
39.2563992251409,"WINv","SRP","EC-EARTH","winter","gbm"
10.6665951590765,"CUR","SRP","EC-EARTH","winter","gbm"
9.97546931849664,"CURu","SRP","EC-EARTH","winter","gbm"
21.9309908016906,"CURv","SRP","EC-EARTH","winter","gbm"
14.550999773374,"SSH","SRP","EC-EARTH","winter","gbm"
14.4517200404662,"SSHg","SRP","EC-EARTH","winter","gbm"
100,"DEP","SRP","EC-EARTH","winter","gbm"
