"Overall","variable","sp","season","climate","method"
14.4481331130669,"ICE","SRP","winter","GISS-E2-H-CC","ann"
17.0543520652027,"SST","SRP","winter","GISS-E2-H-CC","ann"
0,"WINu","SRP","winter","GISS-E2-H-CC","ann"
19.4286917132997,"WINv","SRP","winter","GISS-E2-H-CC","ann"
27.5542519307442,"WIN","SRP","winter","GISS-E2-H-CC","ann"
13.4921569405982,"CURu","SRP","winter","GISS-E2-H-CC","ann"
37.3968013068626,"CURv","SRP","winter","GISS-E2-H-CC","ann"
14.7023203449124,"CUR","SRP","winter","GISS-E2-H-CC","ann"
48.9951104765719,"SSTg","SRP","winter","GISS-E2-H-CC","ann"
100,"DEP","SRP","winter","GISS-E2-H-CC","ann"
