"Overall","variable","sp","climate","season","method"
0,"ICE","SRP","MIROC-ESM","winter","gbm"
5.0274631711643,"SST","SRP","MIROC-ESM","winter","gbm"
11.9106379953567,"SSTg","SRP","MIROC-ESM","winter","gbm"
100,"WIN","SRP","MIROC-ESM","winter","gbm"
15.4843251554317,"WINu","SRP","MIROC-ESM","winter","gbm"
21.1175417812243,"WINv","SRP","MIROC-ESM","winter","gbm"
2.83321009776561,"CUR","SRP","MIROC-ESM","winter","gbm"
2.4045974257493,"CURu","SRP","MIROC-ESM","winter","gbm"
8.76895308508358,"CURv","SRP","MIROC-ESM","winter","gbm"
61.369467906115,"SSH","SRP","MIROC-ESM","winter","gbm"
1.24306760106542,"SSHg","SRP","MIROC-ESM","winter","gbm"
2.89736191913494,"DEP","SRP","MIROC-ESM","winter","gbm"
