"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SRP","winter","MIROC-ESM","svm"
70.5017437320456,70.5017437320456,"SST","SRP","winter","MIROC-ESM","svm"
97.1791951072769,97.1791951072769,"WINu","SRP","winter","MIROC-ESM","svm"
17.1590337177995,17.1590337177995,"WINv","SRP","winter","MIROC-ESM","svm"
100,100,"WIN","SRP","winter","MIROC-ESM","svm"
20.0779173904894,20.0779173904894,"CURu","SRP","winter","MIROC-ESM","svm"
0.276779893583695,0.276779893583695,"CURv","SRP","winter","MIROC-ESM","svm"
17.4801227661677,17.4801227661677,"CUR","SRP","winter","MIROC-ESM","svm"
80.5711569451738,80.5711569451738,"SSH","SRP","winter","MIROC-ESM","svm"
19.1144548883787,19.1144548883787,"SSHg","SRP","winter","MIROC-ESM","svm"
39.6259814981887,39.6259814981887,"SSTg","SRP","winter","MIROC-ESM","svm"
15.4785003467245,15.4785003467245,"DEP","SRP","winter","MIROC-ESM","svm"
