"Overall","variable","sp","season","climate","method"
NA,"WINu","SRP","winter","NorESM1-M","gam"
NA,"WINv","SRP","winter","NorESM1-M","gam"
NA,"WIN","SRP","winter","NorESM1-M","gam"
0,"CURu","SRP","winter","NorESM1-M","gam"
NA,"SST","SRP","winter","NorESM1-M","gam"
NA,"SSH","SRP","winter","NorESM1-M","gam"
0,"SSHg","SRP","winter","NorESM1-M","gam"
NA,"SSTg","SRP","winter","NorESM1-M","gam"
NA,"CURv","SRP","winter","NorESM1-M","gam"
0,"CUR","SRP","winter","NorESM1-M","gam"
NA,"DEP","SRP","winter","NorESM1-M","gam"
