"Overall","variable","sp","season","climate","method"
33.9481992434041,"ICE","WAB","summer","ACCESS1-0","ann"
39.4622508658055,"SST","WAB","summer","ACCESS1-0","ann"
35.7503373641363,"WINu","WAB","summer","ACCESS1-0","ann"
73.2364162489751,"WINv","WAB","summer","ACCESS1-0","ann"
42.2177784727623,"WIN","WAB","summer","ACCESS1-0","ann"
3.97802738241424,"CURu","WAB","summer","ACCESS1-0","ann"
0,"CURv","WAB","summer","ACCESS1-0","ann"
50.5349388960722,"CUR","WAB","summer","ACCESS1-0","ann"
91.2336627118115,"SSH","WAB","summer","ACCESS1-0","ann"
23.5544316247195,"SSHg","WAB","summer","ACCESS1-0","ann"
5.91282170743494,"SSTg","WAB","summer","ACCESS1-0","ann"
100,"DEP","WAB","summer","ACCESS1-0","ann"
