"Overall","variable","sp","season","climate","method"
NA,"WINu","WAB","summer","BCC-CSM1.1","gam"
NA,"WINv","WAB","summer","BCC-CSM1.1","gam"
NA,"WIN","WAB","summer","BCC-CSM1.1","gam"
NA,"SST","WAB","summer","BCC-CSM1.1","gam"
NA,"CUR","WAB","summer","BCC-CSM1.1","gam"
NA,"SSH","WAB","summer","BCC-CSM1.1","gam"
NA,"SSHg","WAB","summer","BCC-CSM1.1","gam"
NA,"SSTg","WAB","summer","BCC-CSM1.1","gam"
0,"CURu","WAB","summer","BCC-CSM1.1","gam"
0,"CURv","WAB","summer","BCC-CSM1.1","gam"
NA,"DEP","WAB","summer","BCC-CSM1.1","gam"
