"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","WAB","summer","BCC-CSM1.1","svm"
87.6826661962622,87.6826661962622,"SST","WAB","summer","BCC-CSM1.1","svm"
60.2705389914185,60.2705389914185,"WINu","WAB","summer","BCC-CSM1.1","svm"
41.7873018664012,41.7873018664012,"WINv","WAB","summer","BCC-CSM1.1","svm"
55.4107510687658,55.4107510687658,"WIN","WAB","summer","BCC-CSM1.1","svm"
5.33049652784665,5.33049652784665,"CURu","WAB","summer","BCC-CSM1.1","svm"
13.9713508385953,13.9713508385953,"CURv","WAB","summer","BCC-CSM1.1","svm"
27.540275602442,27.540275602442,"CUR","WAB","summer","BCC-CSM1.1","svm"
100,100,"SSH","WAB","summer","BCC-CSM1.1","svm"
35.6848585770647,35.6848585770647,"SSHg","WAB","summer","BCC-CSM1.1","svm"
36.9800289816979,36.9800289816979,"SSTg","WAB","summer","BCC-CSM1.1","svm"
0.806605385282165,0.806605385282165,"DEP","WAB","summer","BCC-CSM1.1","svm"
