"Overall","variable","sp","season","climate","method"
0,"ICE","WAB","summer","MIROC-ESM","ann"
52.0079867032568,"SST","WAB","summer","MIROC-ESM","ann"
59.0029495356478,"WINu","WAB","summer","MIROC-ESM","ann"
11.9230869960363,"WINv","WAB","summer","MIROC-ESM","ann"
53.0262487685061,"WIN","WAB","summer","MIROC-ESM","ann"
42.1744361414762,"CURu","WAB","summer","MIROC-ESM","ann"
5.0517262727764,"CURv","WAB","summer","MIROC-ESM","ann"
23.949831703688,"CUR","WAB","summer","MIROC-ESM","ann"
25.1454426641001,"SSH","WAB","summer","MIROC-ESM","ann"
3.10559519663857,"SSHg","WAB","summer","MIROC-ESM","ann"
4.91621270346974,"SSTg","WAB","summer","MIROC-ESM","ann"
100,"DEP","WAB","summer","MIROC-ESM","ann"
