"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","MIROC-ESM","summer","gbm"
100,"SST","WAB","MIROC-ESM","summer","gbm"
11.1027508236676,"SSTg","WAB","MIROC-ESM","summer","gbm"
9.21313148917486,"WIN","WAB","MIROC-ESM","summer","gbm"
2.80544813757739,"WINu","WAB","MIROC-ESM","summer","gbm"
44.2485801082803,"WINv","WAB","MIROC-ESM","summer","gbm"
1.87258324036413,"CUR","WAB","MIROC-ESM","summer","gbm"
3.68623919081435,"CURu","WAB","MIROC-ESM","summer","gbm"
5.82454115400074,"CURv","WAB","MIROC-ESM","summer","gbm"
94.1247155499341,"SSH","WAB","MIROC-ESM","summer","gbm"
14.7754392298858,"SSHg","WAB","MIROC-ESM","summer","gbm"
17.4170194829423,"DEP","WAB","MIROC-ESM","summer","gbm"
