"Overall","variable","sp","season","climate","method"
NA,"WINu","WAB","summer","NorESM1-M","gam"
NA,"WINv","WAB","summer","NorESM1-M","gam"
NA,"WIN","WAB","summer","NorESM1-M","gam"
0,"CURu","WAB","summer","NorESM1-M","gam"
NA,"SST","WAB","summer","NorESM1-M","gam"
NA,"SSH","WAB","summer","NorESM1-M","gam"
NA,"SSHg","WAB","summer","NorESM1-M","gam"
NA,"SSTg","WAB","summer","NorESM1-M","gam"
NA,"CURv","WAB","summer","NorESM1-M","gam"
NA,"CUR","WAB","summer","NorESM1-M","gam"
NA,"DEP","WAB","summer","NorESM1-M","gam"
