"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","NorESM1-M","summer","gbm"
17.2329244041118,"SST","WAB","NorESM1-M","summer","gbm"
4.78594789955245,"SSTg","WAB","NorESM1-M","summer","gbm"
20.7747173186199,"WIN","WAB","NorESM1-M","summer","gbm"
12.6654902384592,"WINu","WAB","NorESM1-M","summer","gbm"
64.1174380530012,"WINv","WAB","NorESM1-M","summer","gbm"
2.19827819089507,"CUR","WAB","NorESM1-M","summer","gbm"
7.26715521848384,"CURu","WAB","NorESM1-M","summer","gbm"
16.1821742643139,"CURv","WAB","NorESM1-M","summer","gbm"
100,"SSH","WAB","NorESM1-M","summer","gbm"
19.5075845974107,"SSHg","WAB","NorESM1-M","summer","gbm"
20.9517799847735,"DEP","WAB","NorESM1-M","summer","gbm"
