"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","NorESM1-M","summer","rf"
30.8115609428712,"SST","WAB","NorESM1-M","summer","rf"
23.7306636672596,"SSTg","WAB","NorESM1-M","summer","rf"
30.0777949826306,"WINu","WAB","NorESM1-M","summer","rf"
29.9146096937638,"WINv","WAB","NorESM1-M","summer","rf"
27.7777321002668,"CURu","WAB","NorESM1-M","summer","rf"
35.7648190698554,"CURv","WAB","NorESM1-M","summer","rf"
51.6674840042796,"SSH","WAB","NorESM1-M","summer","rf"
19.8937287183711,"SSHg","WAB","NorESM1-M","summer","rf"
100,"DEP","WAB","NorESM1-M","summer","rf"
