"Overall","variable","sp","season","climate","method"
35.321132776188,"ICE","WAB","winter","ACCESS1-0","ann"
25.2331680708304,"SST","WAB","winter","ACCESS1-0","ann"
42.1422968517605,"WINu","WAB","winter","ACCESS1-0","ann"
12.5490824412879,"WINv","WAB","winter","ACCESS1-0","ann"
39.2514923765997,"WIN","WAB","winter","ACCESS1-0","ann"
14.2613019557184,"CURu","WAB","winter","ACCESS1-0","ann"
12.7865729507175,"CURv","WAB","winter","ACCESS1-0","ann"
0.223290699005927,"CUR","WAB","winter","ACCESS1-0","ann"
15.2271757162318,"SSH","WAB","winter","ACCESS1-0","ann"
0,"SSHg","WAB","winter","ACCESS1-0","ann"
3.28182316201861,"SSTg","WAB","winter","ACCESS1-0","ann"
100,"DEP","WAB","winter","ACCESS1-0","ann"
