"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","ACCESS1-0","winter","gbm"
12.9059690822188,"SST","WAB","ACCESS1-0","winter","gbm"
8.93547016389295,"SSTg","WAB","ACCESS1-0","winter","gbm"
15.0189913594789,"WIN","WAB","ACCESS1-0","winter","gbm"
7.6980032292772,"WINu","WAB","ACCESS1-0","winter","gbm"
34.1177773331519,"WINv","WAB","ACCESS1-0","winter","gbm"
5.21904266898826,"CUR","WAB","ACCESS1-0","winter","gbm"
10.1696471432711,"CURu","WAB","ACCESS1-0","winter","gbm"
7.69973476502027,"CURv","WAB","ACCESS1-0","winter","gbm"
100,"SSH","WAB","ACCESS1-0","winter","gbm"
12.8938048051353,"SSHg","WAB","ACCESS1-0","winter","gbm"
23.5447822819746,"DEP","WAB","ACCESS1-0","winter","gbm"
