"Overall","variable","sp","season","climate","method"
30.7810018309741,"ICE","WAB","winter","BCC-CSM1.1","ann"
0.356127252019645,"SST","WAB","winter","BCC-CSM1.1","ann"
32.3708171359613,"WINu","WAB","winter","BCC-CSM1.1","ann"
28.8256222595477,"WINv","WAB","winter","BCC-CSM1.1","ann"
37.8739954350237,"WIN","WAB","winter","BCC-CSM1.1","ann"
0,"CURu","WAB","winter","BCC-CSM1.1","ann"
60.1995887736558,"CURv","WAB","winter","BCC-CSM1.1","ann"
11.2513607308673,"CUR","WAB","winter","BCC-CSM1.1","ann"
20.6972564210682,"SSH","WAB","winter","BCC-CSM1.1","ann"
9.70977988432529,"SSHg","WAB","winter","BCC-CSM1.1","ann"
0.797363709824491,"SSTg","WAB","winter","BCC-CSM1.1","ann"
100,"DEP","WAB","winter","BCC-CSM1.1","ann"
