"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","CMCC-CM","winter","rf"
64.1455291580109,"SST","WAB","CMCC-CM","winter","rf"
33.2794886511255,"SSTg","WAB","CMCC-CM","winter","rf"
60.5283150400363,"WINu","WAB","CMCC-CM","winter","rf"
60.157668639675,"WINv","WAB","CMCC-CM","winter","rf"
50.9460486671181,"CURu","WAB","CMCC-CM","winter","rf"
43.8071796301355,"CURv","WAB","CMCC-CM","winter","rf"
100,"SSH","WAB","CMCC-CM","winter","rf"
33.3578961199085,"SSHg","WAB","CMCC-CM","winter","rf"
98.9379831141777,"DEP","WAB","CMCC-CM","winter","rf"
