"Obs","Sim","variable","sp","season","climate","method"
11.9389288579323,11.9389288579323,"ICE","WAB","winter","CanESM2","svm"
53.6374531863605,53.6374531863605,"SST","WAB","winter","CanESM2","svm"
15.9720465433449,15.9720465433449,"WINu","WAB","winter","CanESM2","svm"
24.9880703287458,24.9880703287458,"WINv","WAB","winter","CanESM2","svm"
16.5745955354124,16.5745955354124,"WIN","WAB","winter","CanESM2","svm"
29.4184375723418,29.4184375723418,"CURu","WAB","winter","CanESM2","svm"
39.3480157616993,39.3480157616993,"CURv","WAB","winter","CanESM2","svm"
27.5646563741427,27.5646563741427,"CUR","WAB","winter","CanESM2","svm"
63.6556289682141,63.6556289682141,"SSH","WAB","winter","CanESM2","svm"
0,0,"SSHg","WAB","winter","CanESM2","svm"
9.48184995225803,9.48184995225803,"SSTg","WAB","winter","CanESM2","svm"
100,100,"DEP","WAB","winter","CanESM2","svm"
