"Overall","variable","sp","season","climate","method"
48.826593663925,"ICE","WAB","winter","EC-EARTH","ann"
28.2737979360809,"SST","WAB","winter","EC-EARTH","ann"
100,"WINu","WAB","winter","EC-EARTH","ann"
11.7066168554252,"WINv","WAB","winter","EC-EARTH","ann"
63.3389241719914,"WIN","WAB","winter","EC-EARTH","ann"
17.613444126626,"CURu","WAB","winter","EC-EARTH","ann"
38.6846539676424,"CURv","WAB","winter","EC-EARTH","ann"
12.010199918727,"CUR","WAB","winter","EC-EARTH","ann"
60.7048495949035,"SSH","WAB","winter","EC-EARTH","ann"
4.34223806241907,"SSHg","WAB","winter","EC-EARTH","ann"
0,"SSTg","WAB","winter","EC-EARTH","ann"
85.1192721526266,"DEP","WAB","winter","EC-EARTH","ann"
