"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","EC-EARTH","winter","rf"
65.8730844080483,"SST","WAB","EC-EARTH","winter","rf"
29.8571443464403,"SSTg","WAB","EC-EARTH","winter","rf"
43.5593373650405,"WINu","WAB","EC-EARTH","winter","rf"
56.5049931976299,"WINv","WAB","EC-EARTH","winter","rf"
37.090880340281,"CURu","WAB","EC-EARTH","winter","rf"
34.5433360629376,"CURv","WAB","EC-EARTH","winter","rf"
100,"SSH","WAB","EC-EARTH","winter","rf"
35.2258182388035,"SSHg","WAB","EC-EARTH","winter","rf"
91.5559953715872,"DEP","WAB","EC-EARTH","winter","rf"
