"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","MIROC-ESM","winter","gbm"
19.2292294095981,"SST","WAB","MIROC-ESM","winter","gbm"
12.1150948308408,"SSTg","WAB","MIROC-ESM","winter","gbm"
14.7276665693597,"WIN","WAB","MIROC-ESM","winter","gbm"
11.4730539405334,"WINu","WAB","MIROC-ESM","winter","gbm"
24.367433900838,"WINv","WAB","MIROC-ESM","winter","gbm"
1.93597318910435,"CUR","WAB","MIROC-ESM","winter","gbm"
15.5131198627231,"CURu","WAB","MIROC-ESM","winter","gbm"
15.3050751849321,"CURv","WAB","MIROC-ESM","winter","gbm"
100,"SSH","WAB","MIROC-ESM","winter","gbm"
7.77330532635496,"SSHg","WAB","MIROC-ESM","winter","gbm"
21.4950147161784,"DEP","WAB","MIROC-ESM","winter","gbm"
