"Overall","variable","sp","season","climate","method"
43.203238111463,"ICE","WAB","winter","NorESM1-M","ann"
90.1799958052365,"SST","WAB","winter","NorESM1-M","ann"
80.8895330840124,"WINu","WAB","winter","NorESM1-M","ann"
97.2601399108411,"WINv","WAB","winter","NorESM1-M","ann"
98.8194199832926,"WIN","WAB","winter","NorESM1-M","ann"
97.1725329399255,"CURu","WAB","winter","NorESM1-M","ann"
51.7024989350324,"CURv","WAB","winter","NorESM1-M","ann"
57.7155658132785,"CUR","WAB","winter","NorESM1-M","ann"
100,"SSH","WAB","winter","NorESM1-M","ann"
0,"SSHg","WAB","winter","NorESM1-M","ann"
14.4221559008949,"SSTg","WAB","winter","NorESM1-M","ann"
41.6384376647619,"DEP","WAB","winter","NorESM1-M","ann"
