"Overall","variable","sp","season","climate","method"
NA,"WINu","WAB","winter","NorESM1-M","gam"
NA,"WINv","WAB","winter","NorESM1-M","gam"
NA,"WIN","WAB","winter","NorESM1-M","gam"
0,"CURu","WAB","winter","NorESM1-M","gam"
NA,"SST","WAB","winter","NorESM1-M","gam"
NA,"SSH","WAB","winter","NorESM1-M","gam"
0,"SSHg","WAB","winter","NorESM1-M","gam"
0,"SSTg","WAB","winter","NorESM1-M","gam"
0,"CURv","WAB","winter","NorESM1-M","gam"
NA,"DEP","WAB","winter","NorESM1-M","gam"
0,"CUR","WAB","winter","NorESM1-M","gam"
