"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","NorESM1-M","winter","rf"
77.2980397843232,"SST","WAB","NorESM1-M","winter","rf"
40.1688209879058,"SSTg","WAB","NorESM1-M","winter","rf"
55.8654863863336,"WINu","WAB","NorESM1-M","winter","rf"
47.1888929991926,"WINv","WAB","NorESM1-M","winter","rf"
46.303230520281,"CURu","WAB","NorESM1-M","winter","rf"
47.4409532685282,"CURv","WAB","NorESM1-M","winter","rf"
100,"SSH","WAB","NorESM1-M","winter","rf"
28.8764381226063,"SSHg","WAB","NorESM1-M","winter","rf"
86.8173962197547,"DEP","WAB","NorESM1-M","winter","rf"
