"Overall","variable","sp","climate","season","method"
0,"ICE","WCP","ACCESS1-0","summer","gbm"
22.663846974533,"SST","WCP","ACCESS1-0","summer","gbm"
0.835891722690088,"SSTg","WCP","ACCESS1-0","summer","gbm"
0.71969583343451,"WIN","WCP","ACCESS1-0","summer","gbm"
12.5483374828219,"WINu","WCP","ACCESS1-0","summer","gbm"
100,"WINv","WCP","ACCESS1-0","summer","gbm"
0,"CUR","WCP","ACCESS1-0","summer","gbm"
38.1920330092016,"CURu","WCP","ACCESS1-0","summer","gbm"
0,"CURv","WCP","ACCESS1-0","summer","gbm"
26.4011980352656,"SSH","WCP","ACCESS1-0","summer","gbm"
2.83495798115258,"SSHg","WCP","ACCESS1-0","summer","gbm"
13.1646348499906,"DEP","WCP","ACCESS1-0","summer","gbm"
