"Overall","variable","sp","season","climate","method"
100,"ICE","WCP","summer","BCC-CSM1.1","ann"
25.6521420309149,"SST","WCP","summer","BCC-CSM1.1","ann"
31.4101000219483,"WINu","WCP","summer","BCC-CSM1.1","ann"
12.7129999004356,"WINv","WCP","summer","BCC-CSM1.1","ann"
26.9720191729485,"WIN","WCP","summer","BCC-CSM1.1","ann"
76.0906207586434,"CURu","WCP","summer","BCC-CSM1.1","ann"
64.4148064835843,"CURv","WCP","summer","BCC-CSM1.1","ann"
27.0544964486067,"CUR","WCP","summer","BCC-CSM1.1","ann"
37.0930712796793,"SSH","WCP","summer","BCC-CSM1.1","ann"
0,"SSHg","WCP","summer","BCC-CSM1.1","ann"
3.24777154767253,"SSTg","WCP","summer","BCC-CSM1.1","ann"
70.9882166229227,"DEP","WCP","summer","BCC-CSM1.1","ann"
