"Overall","variable","sp","season","climate","method"
NA,"WIN","WCP","summer","BCC-CSM1.1","gam"
NA,"WINu","WCP","summer","BCC-CSM1.1","gam"
NA,"WINv","WCP","summer","BCC-CSM1.1","gam"
0,"CURu","WCP","summer","BCC-CSM1.1","gam"
NA,"CURv","WCP","summer","BCC-CSM1.1","gam"
0,"CUR","WCP","summer","BCC-CSM1.1","gam"
NA,"SST","WCP","summer","BCC-CSM1.1","gam"
NA,"SSH","WCP","summer","BCC-CSM1.1","gam"
NA,"SSHg","WCP","summer","BCC-CSM1.1","gam"
NA,"SSTg","WCP","summer","BCC-CSM1.1","gam"
NA,"DEP","WCP","summer","BCC-CSM1.1","gam"
