"Overall","variable","sp","climate","season","method"
0,"ICE","WCP","BCC-CSM1.1","summer","gbm"
32.7984371691298,"SST","WCP","BCC-CSM1.1","summer","gbm"
8.38718014286197,"SSTg","WCP","BCC-CSM1.1","summer","gbm"
8.53747637953146,"WIN","WCP","BCC-CSM1.1","summer","gbm"
15.8241017322052,"WINu","WCP","BCC-CSM1.1","summer","gbm"
100,"WINv","WCP","BCC-CSM1.1","summer","gbm"
5.22945066957093,"CUR","WCP","BCC-CSM1.1","summer","gbm"
10.5645699469902,"CURu","WCP","BCC-CSM1.1","summer","gbm"
14.5926171319128,"CURv","WCP","BCC-CSM1.1","summer","gbm"
18.5620774589028,"SSH","WCP","BCC-CSM1.1","summer","gbm"
15.0422021151883,"SSHg","WCP","BCC-CSM1.1","summer","gbm"
17.2516248862114,"DEP","WCP","BCC-CSM1.1","summer","gbm"
