"Overall","variable","sp","climate","season","method"
0,"ICE","WCP","BCC-CSM1.1","summer","rf"
77.193050248419,"SST","WCP","BCC-CSM1.1","summer","rf"
37.1759260444488,"SSTg","WCP","BCC-CSM1.1","summer","rf"
43.4779289788254,"WINu","WCP","BCC-CSM1.1","summer","rf"
92.3200874636534,"WINv","WCP","BCC-CSM1.1","summer","rf"
65.2823884955528,"CURu","WCP","BCC-CSM1.1","summer","rf"
53.2468510803401,"CURv","WCP","BCC-CSM1.1","summer","rf"
73.6884365713571,"SSH","WCP","BCC-CSM1.1","summer","rf"
39.9613598643005,"SSHg","WCP","BCC-CSM1.1","summer","rf"
100,"DEP","WCP","BCC-CSM1.1","summer","rf"
