"Overall","variable","sp","climate","season","method"
0,"ICE","WCP","CMCC-CM","summer","rf"
48.6622202882613,"SST","WCP","CMCC-CM","summer","rf"
40.4332016239481,"SSTg","WCP","CMCC-CM","summer","rf"
54.1056963491993,"WINu","WCP","CMCC-CM","summer","rf"
100,"WINv","WCP","CMCC-CM","summer","rf"
51.7119249981251,"CURu","WCP","CMCC-CM","summer","rf"
35.1402654438044,"CURv","WCP","CMCC-CM","summer","rf"
57.1122786601816,"SSH","WCP","CMCC-CM","summer","rf"
34.1877938608233,"SSHg","WCP","CMCC-CM","summer","rf"
91.6724216549196,"DEP","WCP","CMCC-CM","summer","rf"
