"Overall","variable","sp","climate","season","method"
0.0677684752309027,"ICE","WCP","CanESM2","summer","gbm"
10.360222740436,"SST","WCP","CanESM2","summer","gbm"
0,"SSTg","WCP","CanESM2","summer","gbm"
12.9159358723467,"WIN","WCP","CanESM2","summer","gbm"
9.23098468836422,"WINu","WCP","CanESM2","summer","gbm"
100,"WINv","WCP","CanESM2","summer","gbm"
0.331073446076677,"CUR","WCP","CanESM2","summer","gbm"
8.11898967440762,"CURu","WCP","CanESM2","summer","gbm"
0.47403285552146,"CURv","WCP","CanESM2","summer","gbm"
17.0741942263055,"SSH","WCP","CanESM2","summer","gbm"
0,"SSHg","WCP","CanESM2","summer","gbm"
20.1152122184014,"DEP","WCP","CanESM2","summer","gbm"
