"Overall","variable","sp","climate","season","method"
0,"ICE","WCP","MIROC-ESM","summer","rf"
77.1804378893903,"SST","WCP","MIROC-ESM","summer","rf"
42.3792284594624,"SSTg","WCP","MIROC-ESM","summer","rf"
31.723423106494,"WINu","WCP","MIROC-ESM","summer","rf"
99.5021375361462,"WINv","WCP","MIROC-ESM","summer","rf"
66.7380449689378,"CURu","WCP","MIROC-ESM","summer","rf"
52.9993805666824,"CURv","WCP","MIROC-ESM","summer","rf"
90.4554587160028,"SSH","WCP","MIROC-ESM","summer","rf"
40.436384054362,"SSHg","WCP","MIROC-ESM","summer","rf"
100,"DEP","WCP","MIROC-ESM","summer","rf"
