"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","WCP","summer","MIROC-ESM","svm"
100,100,"SST","WCP","summer","MIROC-ESM","svm"
56.5601245723904,56.5601245723904,"WINu","WCP","summer","MIROC-ESM","svm"
77.1957284513195,77.1957284513195,"WINv","WCP","summer","MIROC-ESM","svm"
55.3229259500479,55.3229259500479,"WIN","WCP","summer","MIROC-ESM","svm"
77.6198277542053,77.6198277542053,"CURu","WCP","summer","MIROC-ESM","svm"
35.7869083882693,35.7869083882693,"CURv","WCP","summer","MIROC-ESM","svm"
14.0686488453021,14.0686488453021,"CUR","WCP","summer","MIROC-ESM","svm"
92.8342490717061,92.8342490717061,"SSH","WCP","summer","MIROC-ESM","svm"
30.0925923480574,30.0925923480574,"SSHg","WCP","summer","MIROC-ESM","svm"
58.7533405655079,58.7533405655079,"SSTg","WCP","summer","MIROC-ESM","svm"
48.5609445164422,48.5609445164422,"DEP","WCP","summer","MIROC-ESM","svm"
