"Overall","variable","sp","climate","season","method"
0,"ICE","WCP","NorESM1-M","summer","gbm"
19.0315807398088,"SST","WCP","NorESM1-M","summer","gbm"
24.7917373648894,"SSTg","WCP","NorESM1-M","summer","gbm"
24.4227864665799,"WIN","WCP","NorESM1-M","summer","gbm"
16.5970982718748,"WINu","WCP","NorESM1-M","summer","gbm"
100,"WINv","WCP","NorESM1-M","summer","gbm"
18.122017674454,"CUR","WCP","NorESM1-M","summer","gbm"
25.7314098554264,"CURu","WCP","NorESM1-M","summer","gbm"
22.8457220764206,"CURv","WCP","NorESM1-M","summer","gbm"
22.0526190945984,"SSH","WCP","NorESM1-M","summer","gbm"
19.0687958827079,"SSHg","WCP","NorESM1-M","summer","gbm"
65.9113945301454,"DEP","WCP","NorESM1-M","summer","gbm"
